City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,nicoya,10.1483,-85.452,298.08,96,100,0.93,CR,1697073839
164,atafu village,-8.5421,-172.5159,301.49,75,35,4.8,TK,1697073839
165,rada tilly,-45.9333,-67.5333,282.42,76,0,4.63,AR,1697073839
166,boa vista,2.8197,-60.6733,305.14,48,0,4.63,BR,1697073839
167,yanggu,36.1106,115.7753,291.84,55,100,2.94,CN,1697073839
168,arraial do cabo,-22.9661,-42.0278,297.07,83,0,6.69,BR,1697073839
169,comodoro rivadavia,-45.8667,-67.5,282.07,76,0,4.63,AR,1697073839
170,utrik,11.2278,169.8474,301.51,72,96,5.9,MH,1697073839
171,maymana,35.9214,64.7836,291.96,28,47,1.63,AF,1697073839
172,mata-utu,-13.2816,-176.1745,300.59,84,48,8.76,WF,1697073839
173,carnarvon,-24.8667,113.6333,297.08,44,25,7.53,AU,1697073074
174,tralee,52.2704,-9.7026,283.07,89,100,2.19,IE,1697073840
175,mora,11.0461,14.1401,298.76,64,79,4.18,CM,1697073840
176,vadso,70.0744,29.7487,276.24,65,75,10.8,NO,1697073840
177,port lincoln,-34.7333,135.8667,288.88,56,34,9.5,AU,1697073840
178,chibougamau,49.9168,-74.3659,279.94,93,100,3.09,CA,1697073840
179,rengasdengklok,-6.1592,107.2981,303.22,62,74,3.68,ID,1697073840
180,ribeira grande,38.5167,-28.7,292.47,89,42,2.24,PT,1697073840
181,darhan,49.4867,105.9228,281.34,59,0,2.53,MN,1697073840
182,menaka,15.9182,2.4022,303.72,13,17,3.87,ML,1697073677
183,mme-bafumen,6.3333,10.2333,289.23,93,92,1.37,CM,1697073840
184,dali,25.7,100.1833,288.68,96,100,0.86,CN,1697073840
185,copala,16.65,-98.9833,298.62,86,59,1.2,MX,1697073840
186,kiunga,-6.1219,141.2906,299.67,85,99,1.05,PG,1697073797
187,anadyr,64.75,177.4833,274.43,74,75,17.0,RU,1697073840
188,kalmunai,7.4167,81.8167,298.47,86,95,2.79,LK,1697073840
189,kasimov,54.9411,41.3953,276.97,51,100,8.67,RU,1697073840
190,kirensk,57.7853,108.1119,280.94,84,47,2.68,RU,1697073840
191,crane,31.3974,-102.3501,299.52,37,0,8.51,US,1697073841
192,grand falls-windsor,48.9332,-55.6649,282.87,91,100,1.3,CA,1697073841
193,aur,8.1499,171.1687,301.38,77,99,5.59,MH,1697073841
194,kavieng,-2.5744,150.7967,302.32,71,9,3.93,PG,1697073549
195,nar'yan-mar,67.6713,53.087,274.32,76,9,4.02,RU,1697073841
196,hasaki,35.7333,140.8333,296.09,49,23,4.27,JP,1697073841
197,chipata,-13.6333,32.65,293.61,45,100,2.2,ZM,1697073841
198,la ronge,55.1001,-105.2842,285.29,58,0,4.63,CA,1697073841
199,safford,32.834,-109.7076,302.66,19,0,8.23,US,1697073841
200,bela cruz,-3.0506,-40.1678,298.74,75,47,4.09,BR,1697073841
201,portland,45.5234,-122.6762,289.78,83,49,3.58,US,1697073600
202,mazouna,36.1223,0.8987,294.08,80,0,0.37,DZ,1697073841
203,itaperuna,-21.205,-41.8878,296.44,86,99,1.3,BR,1697073841
204,richfield,44.8833,-93.283,286.27,69,0,3.6,US,1697073841
205,armacao de buzios,-22.7469,-41.8817,297.18,92,1,8.68,BR,1697073842
206,coeur d'alene,47.6777,-116.7805,284.64,85,100,2.06,US,1697073842
207,ati,13.2154,18.3353,304.1,41,91,3.9,TD,1697073842
208,parapat,2.663,98.9349,294.88,88,100,0.51,ID,1697073842
209,san antonio de pale,-1.4014,5.6325,298.59,82,100,5.14,GQ,1697073842
210,coaldale,49.7167,-112.6185,284.7,76,75,2.57,CA,1697073842
211,bria,6.5423,21.9863,293.47,98,100,1.55,CF,1697073842
212,cayambe,0.05,-78.1333,285.74,83,100,2.12,EC,1697073842
213,seven pagodas,12.6264,80.1722,301.51,80,100,1.5,IN,1697073842
214,palmer,42.1584,-72.3287,286.62,80,40,0.0,US,1697073659
215,quillacollo,-17.4,-66.2833,297.19,39,40,4.12,BO,1697073842
216,kajatian,6.0311,120.9919,301.33,74,100,1.73,PH,1697073842
217,saint-paul,-21.0096,55.2707,294.21,86,100,0.89,RE,1697073842
218,saudarkrokur,65.7461,-19.6394,271.61,84,100,2.41,IS,1697073842
219,kirakira,-10.4544,161.9205,302.22,75,80,4.4,SB,1697073842
220,lihue,21.9789,-159.3672,302.73,66,0,6.17,US,1697073843
221,bayganin,48.6947,55.8742,278.55,49,16,2.08,KZ,1697073843
222,turan,16.0678,108.2208,298.14,94,100,1.03,VN,1697073667
223,naracoorte,-36.9579,140.7383,286.22,81,54,8.39,AU,1697073843
224,nagqu,31.5,92.0,272.79,52,100,1.7,CN,1697073843
225,kozina,45.61,13.9356,288.79,88,9,1.54,SI,1697073843
226,ponta delgada,37.7333,-25.6667,293.55,88,40,4.12,PT,1697073843
227,luderitz,-26.6481,15.1594,286.18,83,0,2.74,NA,1697073843
228,tura,25.5198,90.2201,296.08,90,0,0.84,IN,1697073843
229,paipa,5.7801,-73.1171,284.86,92,98,1.71,CO,1697073843
230,lebu,-37.6167,-73.65,283.18,83,0,9.45,CL,1697073843
231,saldanha,-33.0117,17.9442,286.38,95,42,3.71,ZA,1697073843
232,kargasok,59.0556,80.8572,275.35,92,20,4.02,RU,1697073570
233,waingapu,-9.6567,120.2641,303.01,59,48,3.22,ID,1697073843
234,kailua-kona,19.6406,-155.9956,302.13,75,75,5.14,US,1697073843
235,vorkuta,67.5,64.0,272.77,83,100,0.7,RU,1697073843
236,al jawf,29.5,38.75,293.56,45,0,4.56,SA,1697073844
237,callao,-12.0667,-77.15,292.44,77,40,4.63,PE,1697073844
238,al khawr,25.7667,51.3167,300.65,62,0,1.38,QA,1697073844
239,kondoa,-4.9,35.7833,290.31,80,100,1.96,TZ,1697073844
